Project,Package,Module,Class,Smell,Method,Line no,File,Description
flask_app,flask_app.tests,test_bookings,TestCreateBookingAPI,Long statement,test_create_booking_out_of_stock,261,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_bookings.py,A line with 129 chars in test_create_booking_out_of_stock exceeds the maximum length of 120 characters.
flask_app,flask_app.tests,test_bookings,TestCreateBookingAPI,Long statement,test_create_booking_out_of_stock,266,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_bookings.py,A line with 151 chars in test_create_booking_out_of_stock exceeds the maximum length of 120 characters.
flask_app,flask_app.tests,test_bookings,TestCreateBookingAPI,Long statement,test_create_booking_item_not_found,285,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_bookings.py,A line with 129 chars in test_create_booking_item_not_found exceeds the maximum length of 120 characters.
flask_app,flask_app.tests,test_bookings,TestCreateBookingAPI,Long statement,test_create_booking_item_not_found,290,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_bookings.py,A line with 162 chars in test_create_booking_item_not_found exceeds the maximum length of 120 characters.
flask_app,flask_app.tests,test_bookings,TestCreateBookingAPI,Long statement,test_create_booking_already_reserved,308,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_bookings.py,A line with 129 chars in test_create_booking_already_reserved exceeds the maximum length of 120 characters.
flask_app,flask_app.tests,test_bookings,TestCreateBookingAPI,Long statement,test_create_booking_already_reserved,313,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_bookings.py,A line with 151 chars in test_create_booking_already_reserved exceeds the maximum length of 120 characters.
flask_app,flask_app.tests,test_bookings,TestBookingHelpers,Magic number,test_calculate_total_price_base_only,57,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_bookings.py,Magic number 100.0 used in test_calculate_total_price_base_only.
flask_app,flask_app.tests,test_bookings,TestBookingHelpers,Magic number,test_calculate_total_price_base_only,60,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_bookings.py,Magic number 200.0 used in test_calculate_total_price_base_only.
flask_app,flask_app.tests,test_bookings,TestBookingHelpers,Magic number,test_calculate_total_price_with_variants,65,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_bookings.py,Magic number 100.0 used in test_calculate_total_price_with_variants.
flask_app,flask_app.tests,test_bookings,TestBookingHelpers,Magic number,test_calculate_total_price_with_variants,66,/Users/jashwanthnaidu/ASDC project/group01/flask_app/tests/test_bookings.py,Magic number 10.0 used in test_calculate_total_price_with_variants.
