Project,Package,Module,Class,Smell,Method,Line no,File,Description
flask_app,flask_app,shop,,Complex method,get_shops,15 - 175,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,"Method 'get_shops' has a cyclomatic complexity of 29, exceeding the max of 6."
flask_app,flask_app,shop,,Complex method,get_shop_by_id,179 - 329,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,"Method 'get_shop_by_id' has a cyclomatic complexity of 16, exceeding the max of 6."
flask_app,flask_app,shop,,Complex method,get_shop_hours,332 - 404,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,"Method 'get_shop_hours' has a cyclomatic complexity of 7, exceeding the max of 6."
flask_app,flask_app,shop,,Complex method,get_shop_items,515 - 629,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,"Method 'get_shop_items' has a cyclomatic complexity of 14, exceeding the max of 6."
flask_app,flask_app,shop,,Complex method,list_shop_items,813 - 853,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,"Method 'list_shop_items' has a cyclomatic complexity of 9, exceeding the max of 6."
flask_app,flask_app,shop,,Long method,get_shops,15 - 175,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,Method 'get_shops' is too long (161 lines).
flask_app,flask_app,shop,,Long method,get_shop_by_id,179 - 329,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,Method 'get_shop_by_id' is too long (150 lines).
flask_app,flask_app,shop,,Long method,get_shop_hours,332 - 404,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,Method 'get_shop_hours' is too long (72 lines).
flask_app,flask_app,shop,,Long method,get_shop_catalog,442 - 512,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,Method 'get_shop_catalog' is too long (70 lines).
flask_app,flask_app,shop,,Long method,get_shop_items,515 - 629,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,Method 'get_shop_items' is too long (113 lines).
flask_app,flask_app,shop,,Long method,get_item_by_id,632 - 700,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,Method 'get_item_by_id' is too long (68 lines).
flask_app,flask_app,shop,,Long parameter list,get_shop_items,515 - 629,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,"get_shop_items has 7 parameters, exceeding the max of 5."
flask_app,flask_app,shop,,Long statement,get_shops,53,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,A line with 497 chars in get_shops exceeds the maximum length of 120 characters.
flask_app,flask_app,shop,,Long statement,get_shops,136,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,A line with 162 chars in get_shops exceeds the maximum length of 120 characters.
flask_app,flask_app,shop,,Long statement,get_shop_by_id,186,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,A line with 171 chars in get_shop_by_id exceeds the maximum length of 120 characters.
flask_app,flask_app,shop,,Long statement,get_shop_by_id,205,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,A line with 161 chars in get_shop_by_id exceeds the maximum length of 120 characters.
flask_app,flask_app,shop,,Long statement,get_shop_by_id,268,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,A line with 188 chars in get_shop_by_id exceeds the maximum length of 120 characters.
flask_app,flask_app,shop,,Long statement,get_shop_by_id,281,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,A line with 393 chars in get_shop_by_id exceeds the maximum length of 120 characters.
flask_app,flask_app,shop,,Long statement,get_shop_by_id,290,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,A line with 242 chars in get_shop_by_id exceeds the maximum length of 120 characters.
flask_app,flask_app,shop,,Long statement,get_shop_by_id,302,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,A line with 434 chars in get_shop_by_id exceeds the maximum length of 120 characters.
flask_app,flask_app,shop,,Long statement,get_shop_by_id,313,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,A line with 253 chars in get_shop_by_id exceeds the maximum length of 120 characters.
flask_app,flask_app,shop,,Long statement,get_shop_hours,351,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,A line with 188 chars in get_shop_hours exceeds the maximum length of 120 characters.
flask_app,flask_app,shop,,Long statement,get_shop_hours,364,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,A line with 393 chars in get_shop_hours exceeds the maximum length of 120 characters.
flask_app,flask_app,shop,,Long statement,get_shop_hours,373,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,A line with 220 chars in get_shop_hours exceeds the maximum length of 120 characters.
flask_app,flask_app,shop,,Long statement,get_shop_hours,385,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,A line with 434 chars in get_shop_hours exceeds the maximum length of 120 characters.
flask_app,flask_app,shop,,Long statement,get_shop_categories,413,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,A line with 154 chars in get_shop_categories exceeds the maximum length of 120 characters.
flask_app,flask_app,shop,,Long statement,get_shop_catalog,461,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,A line with 269 chars in get_shop_catalog exceeds the maximum length of 120 characters.
flask_app,flask_app,shop,,Long statement,get_shop_catalog,480,/Users/jashwanthnaidu/ASDC project/group01/flask_app/shop.py,A line with 229 chars in get_shop_catalog exceeds the maximum length of 120 characters.
